 Y [ m ],Tol_4_ Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.00962500,0.00000000,0.00000000
0.00968359,0.00000000,0.00000000
0.00974217,0.00000000,0.00000000
0.00980076,0.00000000,0.00000000
0.00985934,0.00000000,0.00000000
0.00991793,0.00000000,0.00000000
0.00997651,0.00000000,0.00000000
0.01003510,0.00000000,0.00000000
0.01009369,0.00000000,0.00000000
0.01015227,0.00832591,0.01110080
0.01021086,0.05348764,0.05386723
0.01026944,0.09843761,0.09623279
0.01032803,0.14307678,0.13824180
0.01038662,0.18613838,0.17892411
0.01044520,0.22817896,0.21883309
0.01050379,0.26916900,0.25798151
0.01056237,0.30824447,0.29582223
0.01062096,0.34577432,0.33276004
0.01067954,0.38213396,0.36895767
0.01073813,0.41713592,0.40422773
0.01079672,0.45054004,0.43835509
0.01085530,0.48268086,0.47155842
0.01091389,0.51361543,0.50395852
0.01097247,0.54310346,0.53508139
0.01103106,0.57162738,0.56558931
0.01108964,0.59812689,0.59449333
0.01114823,0.62423241,0.62293667
0.01120682,0.64885366,0.64983445
0.01126540,0.67237341,0.67579269
0.01132399,0.69463658,0.70070446
0.01138257,0.71520269,0.72399902
0.01144116,0.73534429,0.74665856
0.01149974,0.75477201,0.76760256
0.01155833,0.77291071,0.78738499
0.01161692,0.78987283,0.80606347
0.01167550,0.80593926,0.82308745
0.01173409,0.82155883,0.83944422
0.01179267,0.83501840,0.85364723
0.01185126,0.84784436,0.86707360
0.01190985,0.85960710,0.87920022
0.01196843,0.87018299,0.88990313
0.01202702,0.88019693,0.89992732
0.01208560,0.88839555,0.90799528
0.01214419,0.89605814,0.91548449
0.01220277,0.90246552,0.92161649
0.01226136,0.90782624,0.92665195
0.01231995,0.91245550,0.93092078
0.01237853,0.91542536,0.93349183
0.01243712,0.91783100,0.93554503
0.01249570,0.91873908,0.93629491
0.01255429,0.91870421,0.93630642
0.01261287,0.91774112,0.93557823
0.01267146,0.91544926,0.93353522
0.01273005,0.91260672,0.93095201
0.01278863,0.90809911,0.92672133
0.01284722,0.90274978,0.92171198
0.01290580,0.89618921,0.91558814
0.01296439,0.88841712,0.90808678
0.01302298,0.88009024,0.89999276
0.01308156,0.87001741,0.89002252
0.01314015,0.85932857,0.87936181
0.01319873,0.84739494,0.86721522
0.01325732,0.83442038,0.85372907
0.01331590,0.82081985,0.83944827
0.01337449,0.80553567,0.82313073
0.01343308,0.78969210,0.80612999
0.01349166,0.77249175,0.78755885
0.01355025,0.75433755,0.76758355
0.01360883,0.73562890,0.74671704
0.01366742,0.71582133,0.72418576
0.01372600,0.69490302,0.70076442
0.01378459,0.67259020,0.67610365
0.01384318,0.64880151,0.65021580
0.01390176,0.62374121,0.62290251
0.01396035,0.59780562,0.59475148
0.01401893,0.57103193,0.56569695
0.01407752,0.54285485,0.53517181
0.01413610,0.51365900,0.50406504
0.01419469,0.48259768,0.47186366
0.01425328,0.45006639,0.43830878
0.01431186,0.41661680,0.40411556
0.01437045,0.38204247,0.36908060
0.01442903,0.34575841,0.33296475
0.01448762,0.30802816,0.29591531
0.01454621,0.26894760,0.25797692
0.01460479,0.22827023,0.21893291
0.01466338,0.18611740,0.17889836
0.01472196,0.14311948,0.13822322
0.01478055,0.09827239,0.09605422
0.01483913,0.05354277,0.05355231
0.01489772,0.00876672,0.01089871
0.01495631,0.00000000,0.00000000
0.01501489,0.00000000,0.00000000
0.01507348,0.00000000,0.00000000
0.01513206,0.00000000,0.00000000
0.01519065,0.00000000,0.00000000
0.01524923,0.00000000,0.00000000
0.01530782,0.00000000,0.00000000
0.01536641,0.00000000,0.00000000
0.01542499,0.00000000,0.00000000
