 Y [ m ], Velocity [ m s^-1 ], Velocity [ m s^-1 ]
0.009625,0,0.00000000
0.00968359,0,0.00000000
0.00974217,0,0.00000000
0.00980076,0,0.00000000
0.00985934,0,0.00000000
0.00991793,0,0.00000000
0.00997651,0,0.00000000
0.0100351,0,0.00000000
0.01009369,0,0.00000000
0.01015227,0.03718259,0.03644007
0.01021086,0.06565075,0.06356040
0.01026944,0.07150778,0.06852234
0.01032803,0.0333728,0.03327005
0.01038662,0.19949505,0.19763580
0.0104452,0.47900486,0.47090837
0.01050379,0.83524656,0.82080746
0.01056237,1.22590888,1.20778251
0.01062096,1.56011748,1.54847300
0.01067954,1.87389553,1.87072003
0.01073813,2.11876988,2.12942123
0.01079672,2.34040809,2.36277580
0.0108553,2.52629304,2.55714870
0.01091389,2.66414571,2.69322205
0.01097247,2.78127122,2.80483699
0.01103106,2.86825061,2.88206053
0.01108964,2.91314983,2.91909242
0.01114823,2.9517138,2.95049214
0.01120682,2.96464491,2.96078634
0.0112654,2.97165227,2.96597624
0.01132399,2.97312164,2.96573377
0.01138257,2.97121334,2.96217251
0.01144116,2.96744871,2.95703697
0.01149974,2.96045756,2.95032501
0.01155833,2.9532361,2.94363427
0.01161692,2.9455483,2.93723178
0.0116755,2.93802762,2.93141317
0.01173409,2.93095255,2.92612076
0.01179267,2.92482877,2.92163515
0.01185126,2.9197588,2.91769266
0.01190985,2.91552663,2.91418767
0.01196843,2.9123292,2.91132617
0.01202702,2.90958881,2.90869570
0.0120856,2.90751386,2.90641689
0.01214419,2.9059608,2.90451884
0.01220277,2.90459085,2.90278244
0.01226136,2.90365887,2.90140104
0.01231995,2.903054,2.90038967
0.01237853,2.90260315,2.89960146
0.01243712,2.90234923,2.89910340
0.0124957,2.90220809,2.89880538
0.01255429,2.90220022,2.89875507
0.01261287,2.90239334,2.89905310
0.01267146,2.90272236,2.89958644
0.01273005,2.90320849,2.90038180
0.01278863,2.90391421,2.90149164
0.01284722,2.90487123,2.90289235
0.0129058,2.90607524,2.90453959
0.01296439,2.9076755,2.90649962
0.01302298,2.90980434,2.90882039
0.01308156,2.91227984,2.91137385
0.01314015,2.91559815,2.91438866
0.01319873,2.92001081,2.91790986
0.01325732,2.92520452,2.92183185
0.0133159,2.93177414,2.92667580
0.01337449,2.93856978,2.93167353
0.01343308,2.94656491,2.93774629
0.01349166,2.95461249,2.94423199
0.01355025,2.96149731,2.95100570
0.01360883,2.96808219,2.95761704
0.01366742,2.97182131,2.96269035
0.013726,2.9739511,2.96627879
0.01378459,2.9707129,2.96507478
0.01384318,2.96649981,2.96283340
0.01390176,2.94904971,2.94828653
0.01396035,2.92113113,2.92516184
0.01401893,2.87258244,2.88493299
0.01407752,2.78730893,2.80875468
0.0141361,2.6734767,2.70060706
0.01419469,2.53243279,2.56110120
0.01425328,2.34201503,2.36307549
0.01431186,2.13756204,2.14872742
0.01437045,1.87023556,1.86671937
0.01442903,1.57037675,1.55569255
0.01448762,1.22997022,1.20890141
0.01454621,0.84753609,0.83216739
0.01460479,0.46714485,0.45784423
0.01466338,0.22826922,0.22499904
0.01472196,0.03456909,0.03299798
0.01478055,0.06149811,0.05863839
0.01483913,0.06146897,0.05933038
0.01489772,0.03349001,0.03274065
0.01495631,0,0.00000000
0.01501489,0,0.00000000
0.01507348,0,0.00000000
0.01513206,0,0.00000000
0.01519065,0,0.00000000
0.01524923,0,0.00000000
0.01530782,0,0.00000000
0.01536641,0,0.00000000
0.01542499,0,0.00000000
