 Y [ m ], Tol_4_Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.009625,0,0
0.00968359,0,0
0.00974217,0,0
0.00980076,0,0
0.00985934,0,0
0.00991793,0,0
0.00997651,0,0
0.0100351,0,0
0.01009369,0,0
0.01015227,0.00143812,0.00086143
0.01021086,0.00373702,0.00384682
0.01026944,0.00857601,0.00798142
0.01032803,0.0029094,0.0034735
0.01038662,0.03097058,0.03098449
0.0104452,0.09276083,0.09132898
0.01050379,0.15976183,0.15672642
0.01056237,0.23140042,0.22696678
0.01062096,0.29974061,0.29436436
0.01067954,0.35876438,0.35336187
0.01073813,0.41435537,0.40935579
0.01079672,0.46422848,0.46023363
0.0108553,0.51146436,0.50925171
0.01091389,0.55517703,0.5548166
0.01097247,0.59734917,0.59869325
0.01103106,0.63515943,0.63806766
0.01108964,0.67175978,0.67620403
0.01114823,0.70345497,0.70935136
0.01120682,0.73451233,0.74184203
0.0112654,0.76124775,0.76930565
0.01132399,0.78728545,0.79595959
0.01138257,0.81010133,0.81852019
0.01144116,0.83095258,0.838687
0.01149974,0.84885383,0.85572803
0.01155833,0.86566556,0.87154734
0.01161692,0.87930787,0.88377225
0.0116755,0.89297593,0.89602011
0.01173409,0.90305704,0.90438521
0.01179267,0.91309267,0.91269714
0.01185126,0.92100084,0.91868752
0.01190985,0.92830074,0.9240368
0.01196843,0.93390691,0.92781281
0.01202702,0.93919957,0.93130827
0.0120856,0.94309634,0.93354601
0.01214419,0.94668877,0.93554491
0.01220277,0.94917339,0.93682534
0.01226136,0.95127892,0.9378708
0.01231995,0.95279068,0.9385426
0.01237853,0.95396435,0.93903983
0.01243712,0.95458519,0.93931812
0.0124957,0.9549371,0.93947232
0.01255429,0.95492613,0.93947744
0.01261287,0.95456302,0.93933535
0.01267146,0.95391136,0.93905854
0.01273005,0.9527728,0.93856162
0.01278863,0.9512974,0.93788844
0.01284722,0.94922101,0.93686879
0.0129058,0.9466272,0.93550587
0.01296439,0.94327641,0.9336226
0.01302298,0.93925631,0.93125182
0.01308156,0.93423551,0.92807823
0.01314015,0.92811203,0.92387444
0.01319873,0.92107797,0.91878909
0.01325732,0.91285735,0.9124462
0.0133159,0.90303385,0.90444863
0.01337449,0.89247507,0.89567268
0.01343308,0.87921119,0.88396525
0.01349166,0.86531299,0.87154108
0.01355025,0.84872627,0.85599244
0.01360883,0.83054942,0.83854061
0.01366742,0.81022489,0.81842411
0.013726,0.78722048,0.79515213
0.01378459,0.76303101,0.77062452
0.01384318,0.73462933,0.74147809
0.01390176,0.70475298,0.71040946
0.01396035,0.67200547,0.67597967
0.01401893,0.63597053,0.63858455
0.01407752,0.59752876,0.59882349
0.0141361,0.55557495,0.55529416
0.01419469,0.51167208,0.50984061
0.01425328,0.46407676,0.46086422
0.01431186,0.41346431,0.40915126
0.01437045,0.35930088,0.35426351
0.01442903,0.29818651,0.29325652
0.01448762,0.23180585,0.22756973
0.01454621,0.16007152,0.1572686
0.01460479,0.0880383,0.08685221
0.01466338,0.02855901,0.02879889
0.01472196,0.00406207,0.00460634
0.01478055,0.0068625,0.00637887
0.01483913,0.00364649,0.00357287
0.01489772,0.00111964,0.00088723
0.01495631,0,0
0.01501489,0,0
0.01507348,0,0
0.01513206,0,0
0.01519065,0,0
0.01524923,0,0
0.01530782,0,0
0.01536641,0,0
0.01542499,0,0
