 Y [ m ],Tol_4_Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.009625,0.00000000,0
0.00968359,0.00000000,0
0.00974217,0.00000000,0
0.00980076,0.00000000,0
0.00985934,0.00000000,0
0.00991793,0.00000000,0
0.00997651,0.00000000,0
0.0100351,0.00000000,0
0.01009369,0.00000000,0
0.01015227,0.07462674,0.08019173
0.01021086,0.27082041,0.26176572
0.01026944,0.47121555,0.44569895
0.01032803,0.67512953,0.63153023
0.01038662,0.86622882,0.80957544
0.0104452,1.05197608,0.9845838
0.01050379,1.21960688,1.15011764
0.01056237,1.37916124,1.31152153
0.01062096,1.52771485,1.46730804
0.01067954,1.66499758,1.61530554
0.01073813,1.79758453,1.76004291
0.01079672,1.91510582,1.89434755
0.0108553,2.02894592,2.02472234
0.01091389,2.13557792,2.14732337
0.01097247,2.23282075,2.26170039
0.01103106,2.32478857,2.37146187
0.01108964,2.40899110,2.46808887
0.01114823,2.49035859,2.56080914
0.01120682,2.56447005,2.64400148
0.0112654,2.63328576,2.71932006
0.01132399,2.69776225,2.78823495
0.01138257,2.75516295,2.84583926
0.01144116,2.81050825,2.89955831
0.01149974,2.86137104,2.94280958
0.01155833,2.90883160,2.9811151
0.01161692,2.95235538,3.01368475
0.0116755,2.99137092,3.03892231
0.01173409,3.02860498,3.06136203
0.01179267,3.06046486,3.07641959
0.01185126,3.09039879,3.08920574
0.01190985,3.11709166,3.09819055
0.01196843,3.14087844,3.1046207
0.01202702,3.16327596,3.10984015
0.0120856,3.18187475,3.11288476
0.01214419,3.19908237,3.11541295
0.01220277,3.21304703,3.11676979
0.01226136,3.22390151,3.11758161
0.01231995,3.23256207,3.11800909
0.01237853,3.23863697,3.11820817
0.01243712,3.24356341,3.11834669
0.0124957,3.24514532,3.11835456
0.01255429,3.24527168,3.11835432
0.01261287,3.24394751,3.11834621
0.01267146,3.23986125,3.11825657
0.01273005,3.23461080,3.11810112
0.01278863,3.22547841,3.11756969
0.01284722,3.21419406,3.11668634
0.0129058,3.19983244,3.11529565
0.01296439,3.18312502,3.11292529
0.01302298,3.16538310,3.11011457
0.01308156,3.14332318,3.10477543
0.01314015,3.11952639,3.09817171
0.01319873,3.09208488,3.08888602
0.01325732,3.06155014,3.07614326
0.0133159,3.02916312,3.06134176
0.01337449,2.99103808,3.03966427
0.01343308,2.95119643,3.01512098
0.01349166,2.90717745,2.98290062
0.01355025,2.85921717,2.94467545
0.01360883,2.80789423,2.90128016
0.01366742,2.75173521,2.84739208
0.013726,2.69362569,2.78965855
0.01378459,2.62945843,2.72086787
0.01384318,2.56134892,2.64556956
0.01390176,2.48844147,2.56227684
0.01396035,2.40679908,2.46910691
0.01401893,2.32178783,2.37192106
0.01407752,2.22891808,2.26231241
0.0141361,2.13205552,2.14862037
0.01419469,2.02811623,2.0276885
0.01425328,1.91412556,1.89755571
0.01431186,1.79504430,1.76278341
0.01437045,1.66291535,1.61836302
0.01442903,1.52557957,1.47041464
0.01448762,1.37534773,1.31374228
0.01454621,1.21396291,1.15129507
0.01460479,1.04431760,0.98454756
0.01466338,0.85680723,0.80803239
0.01472196,0.66448015,0.62871599
0.01478055,0.46171075,0.4429248
0.01483913,0.26418424,0.25984564
0.01489772,0.07264043,0.07997177
0.01495631,0.00000000,0
0.01501489,0.00000000,0
0.01507348,0.00000000,0
0.01513206,0.00000000,0
0.01519065,0.00000000,0
0.01524923,0.00000000,0
0.01530782,0.00000000,0
0.01536641,0.00000000,0
0.01542499,0.00000000,0
