time[s],Temperature[C]
0,21.76666667
0.1,21.76666667
0.2,21.8
0.3,21.76666667
0.4,21.83333333
0.5,21.83333333
0.6,21.83333333
0.7,21.76666667
0.8,21.8
0.9,21.83333333
1,21.83333333
1.1,21.76666667
1.2,21.73333333
1.3,21.8
1.4,21.8
1.5,21.73333333
1.6,21.73333333
1.7,21.83333333
1.8,21.8
1.9,21.76666667
2,21.8
2.1,21.8
2.2,21.76666667
2.3,21.76666667
2.4,21.8
2.5,21.76666667
2.6,21.83333333
2.7,21.76666667
2.8,21.76666667
2.9,21.83333333
3,21.8
3.1,21.83333333
3.2,21.8
3.3,21.83333333
3.4,21.86666667
3.5,21.83333333
3.6,21.93333333
3.7,21.93333333
3.8,22
3.9,22.13333333
4,22.23333333
4.1,22.33333333
4.2,22.5
4.3,22.63333333
4.4,22.76666667
4.5,22.93333333
4.6,23.1
4.7,23.23333333
4.8,23.5
4.9,23.7
5,23.9
5.1,24.1
5.2,24.23333333
5.3,24.46666667
5.4,24.63333333
5.5,24.83333333
5.6,25.03333333
5.7,25.16666667
5.8,25.43333333
5.9,25.63333333
6,25.83333333
6.1,25.96666667
6.2,26.2
6.3,26.36666667
6.4,26.56666667
6.5,26.76666667
6.6,26.9
6.7,27.16666667
6.8,27.3
6.9,27.53333333
7,27.73333333
7.1,27.86666667
7.2,28.06666667
7.3,28.2
7.4,28.43333333
7.5,28.53333333
7.6,28.73333333
7.7,28.83333333
7.8,29.03333333
7.9,29.1
8,29.36666667
8.1,29.46666667
8.2,29.6
8.3,29.7
8.4,29.86666667
8.5,30
8.6,30.1
8.7,30.23333333
8.8,30.43333333
8.9,30.5
9,30.66666667
9.1,30.7
9.2,30.86666667
9.3,30.96666667
9.4,31.1
9.5,31.2
9.6,31.26666667
9.7,31.43333333
9.8,31.6
9.9,31.66666667
10,31.7
10.1,31.83333333
10.2,31.93333333
10.3,32.03333333
10.4,32.06666667
10.5,32.2
10.6,32.3
10.7,32.36666667
10.8,32.43333333
10.9,32.53333333
11,32.6
11.1,32.63333333
11.2,32.66666667
11.3,32.83333333
11.4,32.9
11.5,32.96666667
11.6,33.03333333
11.7,33.06666667
11.8,33.13333333
11.9,33.23333333
12,33.26666667
12.1,33.36666667
12.2,33.36666667
12.3,33.43333333
12.4,33.56666667
12.5,33.56666667
12.6,33.6
12.7,33.66666667
12.8,33.66666667
12.9,33.76666667
13,33.83333333
13.1,33.86666667
13.2,33.86666667
13.3,33.9
13.4,33.96666667
13.5,34.06666667
13.6,34.03333333
13.7,34.06666667
13.8,34.03333333
13.9,34
14,33.93333333
14.1,33.96666667
14.2,33.96666667
14.3,33.93333333
14.4,33.9
14.5,33.86666667
14.6,33.86666667
14.7,33.83333333
14.8,33.8
14.9,33.7
15,33.63333333
15.1,33.56666667
15.2,33.53333333
15.3,33.36666667
15.4,33.3
15.5,33.3
15.6,33.23333333
15.7,33.1
15.8,33
15.9,32.9
16,32.83333333
16.1,32.73333333
16.2,32.66666667
16.3,32.56666667
16.4,32.5
16.5,32.36666667
16.6,32.36666667
16.7,32.33333333
16.8,32.2
16.9,32.13333333
17,32.03333333
17.1,31.96666667
17.2,31.83333333
17.3,31.76666667
17.4,31.76666667
17.5,31.66666667
17.6,31.6
17.7,31.53333333
17.8,31.36666667
17.9,31.33333333
18,31.26666667
18.1,31.16666667
18.2,31.13333333
18.3,30.96666667
18.4,30.93333333
18.5,30.86666667
18.6,30.8
18.7,30.76666667
18.8,30.7
18.9,30.66666667
19,30.6
19.1,30.5
19.2,30.46666667
19.3,30.4
19.4,30.33333333
19.5,30.26666667
19.6,30.26666667
19.7,30.2
19.8,30.13333333
19.9,30.06666667
20,
